role,n,time
C,720,85
C,1351,95
C,1830,76
C,3615,66
P,6486,259988595
P,1787,206
C,4457,97
C,6370,94
P,5561,260526668
P,6126,201
C,7516,72
C,2756,114
C,1616,54
P,4713,260766908
P,2943,258
P,7041,243
C,2842,62
C,6111,72
C,4723,92
C,381,54
P,3830,287
P,1359,238
P,3057,261411537
C,6960,93
C,4418,60
P,4915,189244563
P,9053,88
C,281,85
C,3126,82
C,2009,63
C,918,89
P,6799,262191711
P,4019,217
C,6552,93
C,9968,80
P,3163,190417050
P,4692,82
P,495,262989464
P,7448,371
C,6272,361
C,3128,81
C,155,69
C,3398,52
C,2473,53
C,691,54
C,38,119
P,7979,263735436
P,3792,356
C,7962,121
P,6844,264360053
P,6012,317
C,268,100
C,384,77
C,8861,115
C,5144,62
C,3112,97
P,2052,264988468
P,7649,304
P,228,234
P,7944,217
C,3377,98
C,1229,70
C,782,55
C,1039,80
C,6351,67
C,2627,73
P,3094,265887637
P,4410,546
P,1539,32477
P,5527,488
C,3655,77
C,7887,56
C,1593,54
C,2833,107
C,997,54
P,958,195497397
P,2069,95
P,9305,98
P,1832,97
C,8740,102
C,3927,118
C,2733,54
P,1062,267358499
P,6977,244
P,2449,214
C,9580,87
C,1204,75
P,4660,216
P,3152,178
P,8812,212
C,8231,98
C,3576,119
C,665,58
P,576,268383410
P,9426,279
P,748,516
P,4333,197540636
C,7190,82
C,9952,87
C,2378,71
P,646,269263215
P,997,236
P,4791,176
P,7887,214
C,5356,125
C,4439,120
C,4079,67
P,7203,269853370
P,2480,384
P,5722,287
C,7336,75
C,2037,71
C,3799,68
P,290,270
P,5250,220
P,2037,260
P,4143,241
P,1625,230
C,9885,90
C,4580,105
P,5756,270872444
P,8555,221
C,1262,83
C,9726,63
P,6642,239
P,7996,249
C,7772,86
C,1761,75
C,7842,59
P,261,271741156
P,3697,348
P,6879,280
P,2795,231
P,82,272341384
P,2879,286
C,4714,94
C,9327,69
C,4299,72
P,2060,272810519
P,6251,292
P,2202,187
P,1985,200
P,3362,183
C,5472,76
C,1552,169
C,6650,63
C,1652,61
P,9019,273418128
C,258,101
C,7941,79
C,1126,61
P,6717,273686081
P,7840,215
C,4621,96
C,8692,71
P,9821,264
P,470,233
P,690,172
P,2362,214
C,7245,66
C,7279,79
P,1526,203957231
P,1108,120
P,9881,81
P,443,274453245
C,2640,102
C,2037,72
C,4272,69
C,721,55
P,8898,275024549
P,3446,212
P,1253,254
C,1015,75
C,2408,84
C,2341,69
P,5842,205772890
P,1785,275748294
C,6549,82
C,9688,84
C,16,124
P,7936,276107705
C,3275,74
C,5588,69
P,4881,207050735
P,9638,125
P,1508,276954400
P,439,207882388
P,959,93
C,2713,93
C,8283,112
C,2790,82
P,8332,77
C,1318,86
C,6487,60
C,362,64
P,8521,113
P,1431,86
C,3464,87
C,6857,117
C,3295,80
P,8068,208978679
P,3633,85
C,8617,98
P,3337,278302171
P,1796,364
P,5640,242
P,2285,278469629
C,5470,89
C,4164,61
C,4082,104
P,5569,278920766
C,3647,72
C,6128,76
P,3692,210702487
P,6819,80
P,8102,123
P,682,86
C,8217,77
C,8312,72
P,3942,279817945
P,9997,432
P,1625,298
C,1212,85
C,4100,75
C,8378,82
C,2058,106
P,9167,212420514
C,1135,131
C,2836,77
C,1439,85
C,5629,103
P,5824,280509469
P,2196,296
C,5347,81
C,2495,88
P,6112,213077680
P,6305,83
C,2732,78
C,8906,113
P,866,126
P,6712,80
P,7095,113
P,6,85
C,6958,65
C,1488,68
C,4169,53
C,1255,61
P,8848,281284557
P,7576,319
C,8462,124
C,9011,66
P,7743,236
P,3260,257
C,9120,63
C,1166,70
P,2402,281654731
P,7295,228
P,635,170
P,5775,176
C,3321,80
C,2784,64
C,5917,89
C,3744,115
C,798,59
C,2224,128
P,6660,215150904
P,9251,88
P,3229,75
C,5442,97
C,4687,64
C,549,62
P,494,94
P,624,84
P,7892,98
C,267,73
C,6160,65
P,7064,283335761
C,5126,167
C,8439,127
C,1019,48
C,1502,68
C,1891,187
P,7046,290404240
P,2949,385
C,4310,89
P,4776,251
C,8400,149
P,6868,305
P,5076,290819562
P,5506,465
C,7604,111
C,9497,68
P,541,353
P,8861,262
C,9618,132
C,1109,108
P,6139,224906322
P,2378,135
P,2313,130
P,4731,87
P,154,292161574
C,2479,87
C,9006,69
C,328,109
C,4810,64
P,5264,292219613
P,2168,292
C,6931,108
P,8696,349
P,8525,185
C,283,74
C,2911,75
C,2790,76
C,9442,113
P,9856,293216904
C,1350,102
C,4779,198
P,6024,233
P,4247,223
P,3132,199
C,2561,76
C,9314,79
C,4859,75
P,4292,293703943
P,8735,438
C,6458,100
C,1625,79
C,6513,106
C,1356,79
C,91,81
P,8013,228962572
P,1865,100
C,8319,84
P,4564,100
P,7379,93
P,2507,82
C,7596,129
C,4294,65
C,381,61
P,9536,295738961
P,4282,231
P,51,295919651
C,9760,117
C,3157,158
P,6235,230793125
P,8512,104
C,5517,129
C,6140,111
C,1634,105
C,1567,86
P,8248,296717629
C,44,73
C,6417,69
C,1382,62
P,381,231626597
P,9467,101
C,5813,144
C,4262,100
C,2711,92
C,15,87
P,3426,297554744
P,6540,277
P,4205,230
P,1024,167
C,5466,720
C,2001,97
C,2873,89
P,3969,233485976
C,5425,115
P,4380,102
P,6504,83
C,9879,79
P,9922,298713925
P,1486,263
C,2600,72
C,7061,96
C,4934,84
P,2038,299028680
P,5512,245
C,8270,103
P,5787,234830177
P,2869,85
C,4713,105
C,533,83
C,5696,106
P,6721,118
P,7336,81
P,2782,69
P,303,70
P,474,117
C,5642,66
C,6393,95
P,7875,300347461
P,4303,236239995
P,424,300659789
C,9791,91
P,9580,300774997
C,3923,146
C,9521,78
C,1478,86
C,1210,53
P,623,301077448
P,65,301286172
P,6342,281
P,9675,186
P,547,359
C,1854,260
C,8160,218
C,73,145
C,6921,81
P,7629,302292767
P,9802,562
C,2434,162
C,8845,141
C,1734,111
P,293,240853284
P,8658,152
P,1542,241501775
C,6879,185
C,3966,138
C,5209,130
C,87,160
P,3523,303885153
P,8223,483
P,1232,179
P,5640,253
C,3322,201
C,2385,100
C,2636,80
C,9410,92
P,9961,304849471
C,8576,62
C,929,85
C,2252,77
P,2675,305602974
P,1255,304
P,1255,293
P,8375,209
P,1497,245086136
C,132,106
C,8496,88
C,1746,72
P,1672,306240423
P,3726,284
P,3720,245991872
P,2464,125
C,8349,75
P,3888,306518790
P,1906,334
P,4006,204
C,4056,75
C,8502,85
C,5037,66
P,8355,307118054
P,7836,258
C,7542,110
C,1014,75
C,934,71
C,3519,52
C,2295,100
P,5060,266
P,2058,212
P,9931,168
C,4818,77
C,6356,60
C,1771,63
C,1936,73
P,2903,307921988
P,5535,240
P,2645,228
C,4223,157
C,5669,82
C,3321,72
P,4805,308606839
C,6032,65
P,885,388
P,4516,341
C,3554,102
C,597,90
P,8583,249538714
P,1427,114
P,3820,112
P,3521,309517695
C,6372,107
C,7087,76
P,2721,309846805
P,9258,700
P,1637,310245069
C,7933,122
C,2441,94
C,7853,58
P,1317,310534434
P,6260,465
P,8699,349
C,2135,77
C,6339,80
C,6866,75
P,9068,346
P,6154,171
P,1522,311130445
C,8373,200
C,4050,70
C,3760,51
P,6383,311355990
P,7560,387
C,3122,79
C,5085,78
P,8653,311809556
P,51,311896852
P,2702,253787461
C,4034,105
C,1444,119
C,3319,71
C,8666,95
C,744,88
P,184,313026862
P,7300,267
P,101,260
P,3031,229
P,3171,218
C,1977,140
C,3975,110
C,1102,67
C,3387,97
P,5403,255945970
C,609,100
P,2611,115
C,5488,74
C,6340,127
P,7086,314719562
P,6682,436
P,4044,315182961
C,55,161
C,2864,191
C,1917,153
C,8207,141
P,164,316269979
P,4968,772
P,6960,13834
P,446,316558606
C,2112,161
C,3086,141
C,3980,90
C,417,80
C,347,87
P,7730,317162700
P,4680,276
C,9491,161
P,6280,317782434
P,3128,318254386
C,2723,168
C,4778,155
C,4236,75
C,7519,115
P,9252,319427594
P,1127,407
P,5803,237
P,2075,191
C,4035,93
C,2244,82
C,1647,97
C,1045,71
C,7573,115
C,1882,116
P,64,320436170
P,1991,478
P,9017,320735450
P,50,283
P,2492,388
P,326,262
P,4659,265374662
C,690,289
C,8059,82
C,5986,83
C,2212,70
P,9372,321238598
P,1652,281
P,2952,388
P,294,321394535
C,61,193
C,318,91
C,775,92
C,742,96
C,8792,85
P,2735,322589077
C,4892,105
P,9461,528
C,7995,97
