role,n,time
P,2960,263612549
C,3383,163321616
P,9708,263520080
P,7309,263830118
C,7225,163435613
P,4767,263871230
C,9283,163587590
P,4608,263932154
C,5257,163427471
P,6310,263841338
P,1115,263945359
P,1630,263800365
P,815,263907684
C,2830,163500083
P,2498,263964138
C,1632,163605012
C,8075,163657203
P,8187,264133811
P,6797,264205120
C,7594,163650510
P,7408,264221820
C,7472,163747480
C,1092,163897164
C,5642,163825036
P,9973,264552500
P,7914,264602237
C,6182,163863020
C,2349,163947995
P,3397,264685797
C,5718,163959965
C,8783,164179441
P,8436,265039916
C,5273,164296935
P,6365,265113215
C,1808,164318795
C,9523,164486104
P,3092,265239137
P,5008,265441986
C,7948,164657493
P,9808,265517503
C,7798,164698693
P,401,265547860
P,1999,265601756
P,1356,265591332
C,8620,164760124
P,8183,265581794
C,5096,164871780
C,4964,164825273
P,6497,265682909
P,6032,265603507
P,9502,265703619
P,5765,265651505
P,2563,265831615
C,6437,164779101
C,2394,165058110
C,3873,164973616
C,479,165436762
C,5197,165623860
P,9914,266363433
C,4419,165603103
C,3175,165739323
C,3851,165689383
P,8075,266748790
C,1932,165734611
P,4647,266776879
C,6065,165761889
C,3635,165783937
P,3409,266867170
C,2647,165797686
P,5741,266964240
C,1955,165747789
P,2663,266921947
P,3844,266965232
P,9489,267015492
C,2839,165753683
C,8060,165636375
P,5401,266977488
C,8550,165718968
C,9647,165707047
P,5007,267268416
C,9621,165981479
P,5929,267331507
C,142,166090176
P,1817,267517723
C,5235,166189759
P,8161,267649546
C,2287,166309248
P,8539,267736384
P,5075,267728258
C,6703,166238421
C,5319,166388876
C,1034,166382966
P,8773,267932516
C,2948,166463699
P,2244,267999925
C,3723,166492535
P,3644,268131859
C,7367,166597326
C,2277,166694080
P,9126,268390751
C,3092,166745432
P,3244,268420919
C,7371,166805299
P,4596,268460087
C,7206,166739065
P,9722,268584452
C,8293,166952594
P,7625,268622805
C,7021,167013313
P,1387,268700706
P,1186,268618335
C,7632,167033028
P,6399,268769146
C,4887,166933190
P,9466,268708437
C,6543,167226351
P,5986,268931345
C,5733,167296196
P,5507,268996875
C,3178,166950800
C,3756,167038390
P,2793,268993583
C,2309,167144075
C,5786,167057491
P,9920,269373009
P,6511,269027576
C,7788,167435036
P,7110,269580494
C,5574,167448636
C,2473,167887243
C,9600,168062304
P,9505,270444787
C,9467,168199146
P,149,270704170
P,4115,270896620
C,1347,168645289
P,6641,271175355
C,2903,168779786
C,4858,168884678
P,4238,271236210
P,8891,271447202
C,4095,169168341
P,3091,271645995
C,7719,169332895
P,4239,271702958
P,7715,271721643
C,5511,169438031
C,7081,169520656
P,9827,271978941
C,513,169577967
C,3140,169755987
C,1200,169742411
C,7609,169820375
P,9698,272544713
C,2123,169831349
P,5346,272624616
C,4511,169845253
C,8165,169813310
C,5365,169798615
C,3827,169776997
P,7697,272730780
P,8239,272710050
P,2787,272776820
C,568,169726556
C,958,169703752
P,6639,272667325
P,324,272828653
C,6504,169729805
C,382,169662943
P,5114,272892266
C,2177,169650801
P,2496,272942862
C,8384,169769356
P,8603,273004235
C,4036,169829833
P,4406,273109378
C,3184,169917448
C,6756,169921625
P,3708,273118110
C,6803,169703275
P,1992,273125451
P,3418,273233334
P,2963,273250755
C,3111,169759306
P,2049,273211716
C,5833,169918400
C,4503,169985762
P,2401,273608457
P,9782,273448504
C,8748,170142529
P,8418,273759669
C,7742,170217801
P,7306,273825933
C,3056,170235480
P,685,273904114
C,2474,170344459
C,4340,170338539
P,5854,274047316
C,6598,170393337
C,5204,170418607
P,2835,274086271
P,927,274100819
P,9344,274257395
C,9720,170775438
P,3044,274449137
C,3146,170919000
P,4716,274539027
C,3259,170859309
P,7196,274719733
C,9324,170964252
P,1186,274791814
C,810,171044885
P,9099,274804097
P,3084,274884136
C,4807,171159497
P,3271,274889866
C,2695,171216514
C,685,171088010
P,2901,275027696
P,3252,274868736
P,3858,275282476
C,3712,171385653
C,3452,171556533
P,3425,275392118
C,4207,171751110
P,2619,275743509
C,3421,171978628
P,5309,275888828
C,9205,172013234
P,9049,276052921
C,349,172139804
C,6636,172354865
P,6581,276398337
P,5126,276338479
C,8635,172554788
P,6322,276564463
C,6749,172661202
P,6990,276612630
C,356,172842565
C,5499,172965245
P,4774,277115384
C,9055,173051622
P,3103,277117732
C,6897,173099080
P,402,277269666
C,3661,173175861
P,4090,277373676
C,4377,173227119
P,3876,277426382
P,7980,277548255
C,6213,173481427
P,6004,277608208
C,4689,173547268
P,5358,277693437
C,1422,173477445
P,1204,277788047
C,986,173616527
P,818,277890264
C,133,173644095
P,6579,277905147
C,5136,173680202
P,3984,277904113
C,7080,173713681
P,8438,278056349
C,5833,173816506
P,6588,278090810
C,8372,173890775
C,7453,173926184
P,8666,278344831
C,4152,174014859
P,580,278429453
C,2198,174097169
P,1396,278488495
C,8057,174045099
C,1017,174071560
P,6449,278505345
P,9506,278604403
C,1375,174164470
P,4531,278656738
C,6241,174309006
P,3094,278786753
C,4665,174323541
P,8278,278862530
C,6815,174404035
P,7174,279073451
